model_name,model_type,val_macro_f1,test_macro_f1,val_weighted_f1,test_weighted_f1,val_balanced_accuracy,test_balanced_accuracy,val_f1_buy,test_f1_buy,val_f1_sell,test_f1_sell,val_recall_buy,test_recall_buy,val_recall_sell,test_recall_sell,rank_val_macro_f1,rank_test_macro_f1,flag_instability,eligible_for_tuning,eligibility_reason_code,is_baseline,already_tuned,selected_for_tuning,is_provisional_production_candidate,decision_rationale
random_forest_baseline,sklearn.ensemble._forest.RandomForestClassifier,0.3754,0.3847,0.3828,0.372,0.3882,0.4186,0.4875,0.4738,0.2949,0.4972,0.5652,0.6243,0.3239,0.4972,1,1,False,True,pass,True,False,True,True,selected_for_tuning|provisional_production_candidate|pass
hist_gradient_boosting_baseline,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,0.3738,0.3688,0.3831,0.3671,0.4041,0.3854,0.5487,0.4661,0.2618,0.3037,0.7343,0.6077,0.2535,0.2291,2,2,True,False,flag_instability,True,False,False,False,not_selected|flag_instability
logistic_regression_baseline,sklearn.linear_model._logistic.LogisticRegression,0.3628,0.2991,0.3786,0.3093,0.363,0.3613,0.365,0.4464,0.2643,0.0,0.3623,0.5746,0.2606,0.0,3,6,True,False,fail_test_f1_sell|fail_test_recall_sell|flag_instability,True,False,False,False,not_selected|fail_test_f1_sell|fail_test_recall_sell|flag_instability
extra_trees_baseline,sklearn.ensemble._forest.ExtraTreesClassifier,0.3616,0.3378,0.3755,0.3308,0.3638,0.3498,0.4324,0.4083,0.2533,0.3812,0.4638,0.4917,0.2676,0.3631,4,3,False,True,pass,True,False,True,False,selected_for_tuning|pass
linear_svc_baseline,sklearn.svm._classes.LinearSVC,0.3615,0.3045,0.3777,0.3161,0.3625,0.3663,0.3509,0.4358,0.2637,0.0,0.3382,0.5249,0.2535,0.0,5,5,True,False,fail_test_f1_sell|fail_test_recall_sell|flag_instability,True,False,False,False,not_selected|fail_test_f1_sell|fail_test_recall_sell|flag_instability
mlp_classifier_baseline,sklearn.neural_network._multilayer_perceptron.MLPClassifier,0.3408,0.3286,0.3583,0.3374,0.3617,0.3634,0.4818,0.4085,0.1881,0.1171,0.6377,0.4807,0.1338,0.0726,6,4,True,False,fail_test_f1_sell|fail_test_recall_sell|flag_instability,True,False,False,False,not_selected|fail_test_f1_sell|fail_test_recall_sell|flag_instability
