mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__early_stopping,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.8673644065856934,0.6289634607265818,0.004498004913330078,0.000501037225421148,0.003,"(128,)",True,32,0.01,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.39234176160144946,0.3480383366009303,0.36849865297797324,0.3065784167236533,0.3538642919760016,0.03148243933181741,13
1.900709331035614,0.7576042900712673,0.00600200891494751,0.000705542018143868,0.001,"(128, 64)",True,32,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.0001}",0.41904780801584307,0.34585980054875926,0.3280916041255019,0.29493525291130807,0.3469836164003531,0.04544351148663369,25
0.8778349757194519,0.5231009732021105,0.005137979984283447,0.00023564407408192725,0.001,"(128,)",True,32,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.0001}",0.3388063148762948,0.38942728321771924,0.37146756098534756,0.3275943673116837,0.3568238815977613,0.024781123658750865,8
1.138384461402893,0.5121758607288347,0.006020903587341309,0.0007253468367508247,0.003,"(128, 64)",True,32,0.01,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.3985009128655001,0.35469446149784806,0.3563421506141095,0.3157352937691199,0.35631820468664444,0.029278791996908072,10
0.27314573526382446,0.11461420317334671,0.004127085208892822,0.0005434576805669999,0.003,"(64,)",True,128,0.001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (64,), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.001}",0.3234599189446878,0.3657562756450366,0.35868243985068543,0.31445692845763223,0.3405888907245105,0.0220059929898127,33
0.7426643967628479,0.36707853017803416,0.004707813262939453,0.0008231550000567628,0.001,"(64, 32)",True,128,0.001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.001}",0.3244279866553756,0.3528006285557151,0.35976151274759266,0.2821684894053315,0.3297896543410037,0.03051368570353446,42
0.57408607006073,0.38457035695755515,0.004702270030975342,0.00041339414463752524,0.0005,"(64, 32)",True,128,0.0001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.0001}",0.28053127941732264,0.3311791975820655,0.36501621379850163,0.2905826554600432,0.31682733656448325,0.03366872010652838,50
2.4504093527793884,1.7064114526830254,0.006244182586669922,0.00043600295309039795,0.0005,"(128, 64)",True,32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.001}",0.34170347180708377,0.34642170105289694,0.35640016168170935,0.2744239639075803,0.3297373246123176,0.032372951089370425,44
0.9706248641014099,0.3894626902358413,0.005706429481506348,0.00041484772816428357,0.003,"(128, 64)",True,64,0.01,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.01}",0.42641916033754557,0.36414225302620346,0.3567739441448525,0.2939365803900021,0.3603179844746509,0.046912262550745695,7
1.5117233991622925,0.6786766305698521,0.005132913589477539,0.0005354602098192983,0.003,"(128, 64)",True,32,0.0001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.0001}",0.4250332055262946,0.3453398844243914,0.33283680921476194,0.3042462748657439,0.351864043507798,0.044793354578343644,16
1.9243289232254028,1.3999296365937406,0.005750417709350586,0.0004320866296087061,0.0005,"(128, 64)",True,32,0.01,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.3428144453765845,0.35687384122843246,0.3607000660200739,0.30211563629429966,0.3406259972298476,0.023209900242537773,31
1.644311547279358,1.1625397793081351,0.004377841949462891,0.0006476026414098563,0.001,"(64, 32)",True,32,0.01,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.321406090017149,0.3536387490859036,0.35615930691307573,0.2831917626015224,0.32859897715441266,0.029580883664999565,46
1.1971721649169922,1.089116664127138,0.004252195358276367,0.0008320845471329666,0.0005,"(64,)",True,32,0.0001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.0001}",0.29388483512903063,0.3637416955838925,0.365976846225387,0.31608602797272384,0.3349223512277585,0.030958928720147428,39
1.2567211389541626,0.7280027455978927,0.0040187835693359375,0.0003475045052390056,0.003,"(64, 32)",True,32,0.01,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.388078660599862,0.3631155303030303,0.3348453361905815,0.27364393275581744,0.33992086496232277,0.042648442280911296,36
0.9179061055183411,0.6965612340904328,0.004500091075897217,0.000500142893963283,0.0005,"(64, 32)",True,64,0.0001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.0001}",0.28214525615852265,0.35250851712390174,0.3709291653998132,0.28236132161569977,0.32198606507448435,0.04026306464309707,49
1.4416434168815613,0.7125749051286839,0.005443572998046875,0.0007194500373037897,0.0005,"(128, 64)",True,128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.001}",0.3412027716378223,0.36076769178218454,0.36878679038212114,0.3311957986765843,0.35048826311967807,0.014991016392739906,21
0.7802108526229858,0.4115898860352873,0.004251003265380859,0.00043168615319596907,0.003,"(64, 32)",True,64,0.001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.001}",0.3842013540065346,0.3357688113413304,0.34822643584444085,0.28944575658442395,0.33941058944418245,0.033888341683708224,37
0.9454977512359619,0.8193555530355119,0.004250764846801758,0.0004318131705238107,0.001,"(128,)",True,32,0.01,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.01}",0.3388049604573394,0.37470930659065477,0.38314886918883456,0.3040988593405027,0.35019049889433285,0.03139066670835125,22
0.8167517185211182,0.3173988200190107,0.005502760410308838,0.0004982400245449088,0.001,"(128, 64)",True,128,0.01,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.01}",0.36662914740001623,0.3607428366380465,0.3621105895345136,0.3286711570332003,0.3545384326514442,0.01509249415878894,12
0.910429060459137,0.6283493256048438,0.004300594329833984,0.0005131756798449625,0.0005,"(64, 32)",True,32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.001}",0.323909476923692,0.369616442230035,0.3719990310100458,0.2950999593867763,0.34015622738763723,0.032310573299999715,35
0.5652199983596802,0.30965015888238345,0.004128992557525635,0.0005410430555391905,0.0005,"(64,)",True,64,0.0001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64,), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.0001}",0.33275686534569954,0.35487050009252913,0.35702038500951544,0.353504359490275,0.34953802748450474,0.009769341463940663,23
0.9286442399024963,0.5730123494983461,0.00425189733505249,0.00043048517489143134,0.0005,"(64,)",True,32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64,), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.001}",0.29388483512903063,0.36334762741192134,0.37104958864662424,0.31382633730796844,0.3355270971238862,0.03256082872919092,38
0.3911901116371155,0.13486007492769347,0.005248606204986572,0.0008294736966656172,0.001,"(128,)",True,128,0.001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.001}",0.3489402165206006,0.3881500209773224,0.3817558648550747,0.3810909366336545,0.37498425974666305,0.015287050031727216,3
0.27633559703826904,0.1238291102457599,0.0037515759468078613,0.00043170818806560025,0.003,"(64,)",True,128,0.0001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (64,), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.0001}",0.33734838274932616,0.3531892730023712,0.37864434947768283,0.30893403854361345,0.3445290109432484,0.025285469857419463,27
1.4964173436164856,1.068127224979533,0.0049697160720825195,0.0008691805177970959,0.001,"(128, 64)",True,64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 64, 'model__alpha': 0.0001}",0.35508563640356544,0.35407661085743275,0.34932532018400647,0.26259398143407836,0.33027038721977076,0.03913348708676948,41
0.7479702830314636,0.37148900475640656,0.004266500473022461,0.00044365255024788545,0.001,"(64, 32)",True,128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.0001}",0.3175867413699302,0.34554903316037633,0.35820190206155117,0.27907168631333873,0.3251023407262991,0.03036837817307135,47
1.5168744921684265,0.8509265282155348,0.005755126476287842,0.0004302750730221315,0.003,"(128, 64)",True,32,0.001,"{'model__learning_rate_init': 0.003, 'model__hidden_layer_sizes': (128, 64), 'model__early_stopping': True, 'model__batch_size': 32, 'model__alpha': 0.001}",0.42920943878620227,0.3651023486317604,0.33641999026614416,0.32555166309134254,0.36407086019386237,0.040287707624690944,6
0.4419528841972351,0.14661502211092964,0.0041280388832092285,0.0005412650073996002,0.001,"(128,)",True,128,0.01,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128,), 'model__early_stopping': True, 'model__batch_size': 128, 'model__alpha': 0.01}",0.3461796933871944,0.3916280389913869,0.3783604646750473,0.39132394081675365,0.37687303446759557,0.018512377535780764,1
