mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_iter,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,param_model__early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.585071325302124,0.10348151996102567,0.029476284980773926,0.002532428829621801,40,15,200,3,0.02,0.1,True,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 15, 'model__max_iter': 200, 'model__max_depth': 3, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.1, 'model__early_stopping': True}",0.33607669408262436,0.3650725350864223,0.31981883576109976,0.39680572895448574,0.35444344847115805,0.02934170139116496,6
1.0973026156425476,0.24267265531857352,0.044568657875061035,0.0010331423473550975,40,15,200,5,0.01,0.0,True,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 15, 'model__max_iter': 200, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__l2_regularization': 0.0, 'model__early_stopping': True}",0.35049887004060354,0.3071097986597827,0.32822210968688137,0.3638485197769022,0.33741982454104247,0.021638120242471588,34
0.98297119140625,0.13806494727413576,0.04204416275024414,0.004941056398773712,10,31,300,3,0.01,0.1,True,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__l2_regularization': 0.1, 'model__early_stopping': True}",0.3296045565147648,0.33678096145618314,0.32077651013136727,0.408278880755945,0.34886022721456506,0.034770537345719874,14
2.5199719667434692,0.660850407466523,0.05279886722564697,0.0078013056871959205,10,31,200,8,0.02,0.1,True,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_iter': 200, 'model__max_depth': 8, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.1, 'model__early_stopping': True}",0.35218470383001677,0.33756705418485805,0.30944986862499135,0.40501042844746626,0.3510530137718331,0.034732463607397374,10
0.5546478629112244,0.21201339651566123,0.027837514877319336,0.007001164463701242,40,15,300,3,0.1,0.0,True,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 15, 'model__max_iter': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.0, 'model__early_stopping': True}",0.3614793069964315,0.3503178636324778,0.36189486487915806,0.3878161825935793,0.36537705452541164,0.01376237424412661,1
2.8061540722846985,1.099351701078046,0.06893646717071533,0.019450203133327584,10,15,500,,0.02,0.0,True,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': None, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.0, 'model__early_stopping': True}",0.33826849674189496,0.29807622721675836,0.3094990181759502,0.38188268282558485,0.3319316062400471,0.0323445278577021,42
0.5716325044631958,0.08127672821406387,0.03102707862854004,0.0031652595711700237,40,63,200,3,0.05,0.1,True,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_iter': 200, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.1, 'model__early_stopping': True}",0.35482253665767277,0.342978132346942,0.3122149469654861,0.37628950740496725,0.346576280843767,0.023154505534158418,22
1.0118497014045715,0.5161809689855774,0.04820120334625244,0.019804011901196513,20,15,500,3,0.05,0.0,True,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0, 'model__early_stopping': True}",0.3533891632539244,0.3105602996614936,0.31187638060231426,0.3552026558146509,0.3327571248330958,0.02155334891480025,40
1.2596691250801086,0.3584477782268548,0.03732103109359741,0.00877055215347039,10,63,200,5,0.05,0.0,True,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 200, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0, 'model__early_stopping': True}",0.37227440964435426,0.3385774213555366,0.3439895597901961,0.384313452177137,0.35978871074180596,0.019084598422384736,5
1.6045075058937073,0.16737900877790066,0.04881089925765991,0.004167341663400627,20,15,200,,0.02,0.0,True,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 200, 'model__max_depth': None, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.0, 'model__early_stopping': True}",0.36670891134768707,0.31891155009511934,0.32223262519030843,0.3995905410379095,0.35186090691775607,0.03339938772620468,8
